,Photo Date,Photo ID ,Photographed By,Date Plated,Plated By,"Date of Trial
 (Monday)",Set ID,strain,Week Number,Replicate Number,# flies,Sex,"
Plate Type (Treatment (T), Control (C), Grow out Treatment (GoT), Baseline (B))","Dilution         (10-2, 10-3, 10-4, 10-5)",Green Count,Red Count,Total CFU on Plate,count type (digital or analog),Counted By,Recorded By (Notebook),Recorded By (Computer),total consumption (24 hours mm),total consumption (48 hours mm),Total Consumption ,red means (spore or vegetative),green means  (spore or vegetative),green survival,red survival,Notes
1,5/11/17,122 1702,FW,5/8/17,HB,5/8/17,,WE,6.0,1:1,,,B,10-3,68,40,108,analog,AZD,KMM,FW,,,,vegetative,spore,,,
3,5/11/17,122 1703,FW,5/8/17,HB,5/8/17,,WE,6.0,1:1,,,B,10-4,20,5,25,analog,AZD,KMM,FW,,,,vegetative,spore,,,
5,5/11/17,122 1704,FW,5/8/17,HB,5/8/17,,WE,6.0,1:1,,,B,10-5,0,0,0,analog,AZD,KMM,FW,,,,vegetative,spore,,,
7,7/13/17,143 3270,FW,5/10/17,HMP,5/8/17,,WE,6.0,1,,,C,10-3,217,28,245,analog,BH,CK,FW,,,,vegetative,spore,,,
9,7/13/17,143 3271,FW,5/10/17,HMP,5/8/17,,WE,6.0,1,,,C,10-4,11,5,16,analog,BH,CK,FW,,,,vegetative,spore,,,
11,7/13/17,143 3272,FW,5/10/17,HMP,5/8/17,,WE,6.0,1,,,C,10-5,4,1,5,analog,BH,CK,,,,,vegetative,spore,,,
13,7/13/17,143 3273,FW,5/10/17,HMP,5/8/17,,WE,6.0,2,,,C,10-3,137,10,147,analog,BH,CK,FW,,,,vegetative,spore,,,
15,7/13/17,143 3274,FW,5/10/17,HMP,5/8/17,,WE,6.0,2,,,C,10-4,40,3,43,analog,BH,CK,FW,,,,vegetative,spore,,,
17,7/13/17,143 3275,FW,5/10/17,HMP,5/8/17,,WE,6.0,2,,,C,10-5,3,0,3,analog,BH,CK,,,,,vegetative,spore,,,
19,7/13/17,143 3276,FW,5/10/17,HMP,5/8/17,,WE,6.0,3,,,C,10-3,430,30,460,analog,BH,CK,FW,,,,vegetative,spore,,,
21,7/13/17,143 3277,FW,5/10/17,HMP,5/8/17,,WE,6.0,3,,,C,10-4,55,3,58,analog,BH,CK,FW,,,,vegetative,spore,,,
23,7/13/17,143 3278,FW,5/10/17,HMP,5/8/17,,WE,6.0,3,,,C,10-5,1,0,1,analog,BH,CK,,,,,vegetative,spore,,,
25,7/13/17,143 3279,FW,5/10/17,HMP,5/8/17,,WE,6.0,4,,,C,10-3,604,36,640,analog,,SLD,FW,,,,vegetative,spore,,,
27,7/13/17,143 3280,FW,5/10/17,HMP,5/8/17,,WE,6.0,4,,,C,10-4,52,2,54,analog,,SLD,FW,,,,vegetative,spore,,,
29,7/13/17,143 3281,FW,5/10/17,HMP,5/8/17,,WE,6.0,4,,,C,10-5,12,2,14,analog,,SLD,FW,,,,vegetative,spore,,,
31,7/13/17,143 3282,FW,5/10/17,HMP,5/8/17,,WE,6.0,5,,,C,10-3,259,17,276,analog,,SLD,FW,,,,vegetative,spore,,,
33,7/13/17,143 3283,FW,5/10/17,HMP,5/8/17,,WE,6.0,5,,,C,10-4,60,5,65,analog,,SLD,FW,,,,vegetative,spore,,,
